"","name","person","place"
"128","Arianism ",0.338709677419355,0.661290322580645
"129","Arians ",0.471509971509972,0.528490028490028
"130","Aristoboulos ",0.82258064516129,0.17741935483871
"131","Arius ",0.558479532163743,0.441520467836257
"132","Arkadios ",0.72508038585209,0.27491961414791
"133","Arkadioupolis ",0.5,0.5
"134","Armenarich ",0.661290322580645,0.338709677419355
"135","Armenia ",0.16824644549763,0.83175355450237
"136","Armeniac ",0.107843137254902,0.892156862745098
"137","Armeniacs ",0.13963963963964,0.86036036036036
"138","Armeniam ",0.82258064516129,0.17741935483871
"139","Armenian ",0.661290322580645,0.338709677419355
"140","Armenians ",0.326839826839827,0.673160173160173
"141","Arsaber ",0.82258064516129,0.17741935483871
"142","Arsacid ",0.661290322580645,0.338709677419355
"143","Arsenios ",0.205882352941176,0.794117647058824
"144","Artabanes ",0.635135135135135,0.364864864864865
"145","Artabasdos ",0.709424083769634,0.290575916230366
"146","Artaserios ",0.892156862745098,0.107843137254902
"147","Artemios ",0.232824427480916,0.767175572519084
"148","Asan ",0.661290322580645,0.338709677419355
"149","Asia ",0.0906432748538012,0.909356725146199
"150","Asiatic ",0.303921568627451,0.696078431372549
"151","Aspar ",0.533112582781457,0.466887417218543
"152","Asparouch ",0.5,0.5
"153","Aspetios ",0.5,0.5
"154","Assas ",0.17741935483871,0.82258064516129
"155","Asterios ",0.82258064516129,0.17741935483871
"156","Astulphos ",0.696078431372549,0.303921568627451
"157","Atalarich ",0.82258064516129,0.17741935483871
"158","Atalos ",0.205882352941176,0.794117647058824
"159","Atel ",0.5,0.5
"160","Athanasios ",0.727670753064799,0.272329246935201
"161","Athenodoros ",0.696078431372549,0.303921568627451
"162","Athinganoi ",0.82258064516129,0.17741935483871
"163","Atroa ",0.338709677419355,0.661290322580645
"164","Attikos ",0.78169014084507,0.21830985915493
"165","Attila ",0.225274725274725,0.774725274725275
"166","August ",0.0695364238410596,0.93046357615894
"167","Augusta ",0.880116959064327,0.119883040935672
"168","Augusteus ",0.21830985915493,0.78169014084507
"169","Auph ",0.338709677419355,0.661290322580645
"170","Aurelia ",0.338709677419355,0.661290322580645
"171","Auxoumite ",0.17741935483871,0.82258064516129
"172","Auxoumites ",0.17741935483871,0.82258064516129
"173","Avar ",0.82258064516129,0.17741935483871
"174","Avars ",0.412280701754386,0.587719298245614
"175","Avroleva ",0.205882352941176,0.794117647058824
"176","Azar ",0.661290322580645,0.338709677419355
"177","Azidos ",0.82258064516129,0.17741935483871
"178","Baanes ",0.5,0.5
"179","Babylas ",0.5,0.5
"180","Babylonia ",0.338709677419355,0.661290322580645
"181","Babylonians ",0.17741935483871,0.82258064516129
"182","Badouarios ",0.445054945054945,0.554945054945055
"183","Baghdad ",0.17741935483871,0.82258064516129
"184","Bakchos ",0.5,0.5
"185","Baktangios ",0.5,0.5
"186","Balgitzis ",0.661290322580645,0.338709677419355
"187","Banakas ",0.78169014084507,0.21830985915493
"188","Bane ",0.338709677419355,0.661290322580645
"189","Baram ",0.235099337748344,0.764900662251656
"190","Barasbakourios ",0.5,0.5
"191","Barasroth ",0.661290322580645,0.338709677419355
"192","Barbas ",0.338709677419355,0.661290322580645
"193","Bardanes ",0.661290322580645,0.338709677419355
"194","Bardanios ",0.335164835164835,0.664835164835165
"195","Bardas ",0.82258064516129,0.17741935483871
"196","Barlaam ",0.661290322580645,0.338709677419355
"197","Barzan ",0.338709677419355,0.661290322580645
"198","Basil ",0.652671755725191,0.347328244274809
"199","Basileus ",0.661290322580645,0.338709677419355
"200","Basilica ",0.205882352941176,0.794117647058824
"201","Basiliskos ",0.543290043290043,0.456709956709957
"202","Basrason ",0.17741935483871,0.82258064516129
"203","Basrathon ",0.5,0.5
"204","Batbaian ",0.892156862745098,0.107843137254902
"205","Batnai ",0.338709677419355,0.661290322580645
"206","Baugain ",0.5,0.5
"207","Bdellas ",0.82258064516129,0.17741935483871
"208","Belisarius ",0.765392781316348,0.234607218683652
"209","Benjamin ",0.661290322580645,0.338709677419355
"210","Beregaba ",0.338709677419355,0.661290322580645
"211","Beroia ",0.17741935483871,0.82258064516129
"212","Berzilia ",0.17741935483871,0.82258064516129
"213","Berzitia ",0.338709677419355,0.661290322580645
"214","Beser ",0.640845070422535,0.359154929577465
"215","Bestan ",0.661290322580645,0.338709677419355
"216","Bethlehem ",0.338709677419355,0.661290322580645
"217","Bigas ",0.5,0.5
"218","Bindoes ",0.661290322580645,0.338709677419355
"219","Bithrapsa ",0.338709677419355,0.661290322580645
"220","Bithynia ",0.205882352941176,0.794117647058824
"221","Blachernai ",0.295321637426901,0.704678362573099
"222","Blue ",0.359154929577465,0.640845070422535
"223","Blues ",0.17741935483871,0.82258064516129
